group	path	width	height	has_alpha	bytes	sha256
brand	app-icon.png	512	512	yes	162886	d63c40bcf28a8a575ec7f4ebb9e1339edaf72d1c0df5ac4feae651b3e9219668
brand	feature-graphic.png	1024	500	no	44317	2bcbdf40ab2d390e03b34ff333bf3a22ec0a260b7cc59fc8938d71338aedd0ad
phone	phone/01-settings.png	1080	1920	no	82595	34fd7b9c99e22dce1272bc9aa5d7709dab61f04c27d9331a20f8054a7ee746ac
phone	phone/02-projects.png	1080	1920	no	92836	6a09355b01a19dd351fd3edb5180fc2b94b25b6b3f3480174d6d556f305e03e0
phone	phone/03-worktrees.png	1080	1920	no	103770	1dd2ed5e09fc26184d25ebc723f19ef6c2ba50222eafc1a7538dde2241224ac2
phone	phone/04-terminal.png	1080	1920	no	62716	d1a2e56c8eb37b17f54091c603e5952b0b8103d884c2f3429b5b6b7e3e472089
phone	phone/05-terminals.png	1080	1920	no	98007	e94b2b8a020b0f690d189d3023ee0b6284a16b961f66417b6379295176f943c3
tablet-7	tablet-7/01-settings.png	1080	1920	no	60158	f98e34b069fa54d3ff24a699b06cd986a34d3a833a6652486fc45d063b55879a
tablet-7	tablet-7/02-projects.png	1080	1920	no	67620	b3e7cff185ecb9be96f4e70b74a0f4853396bad1c898aa498fe341f3038eed8e
tablet-7	tablet-7/03-worktrees.png	1080	1920	no	72554	53639853511e59e2cc640e4c2901dac3d7cc0737f84158473c2f4c3dcf8ed1f1
tablet-7	tablet-7/04-terminal.png	1080	1920	no	66875	534ed6e18c484cf85367c9fc926df10ccc722e33737b509f5c4cfdd06a88cb70
tablet-7	tablet-7/05-terminals.png	1080	1920	no	71903	a27547c819a50012843e19226b8e32c93dc305bc0180eb51cb37e83e50cab1c5
tablet-10	tablet-10/01-settings.png	1080	1920	no	46351	a3bfaa5d0221972e61e5a31e354dcee0a16e17e1024dfe9a110126c0f14370c2
tablet-10	tablet-10/02-projects.png	1080	1920	no	51391	697c471dd0926b256a2e00e31cd02a860afc861b75d3930233873dacb6b38808
tablet-10	tablet-10/03-worktrees.png	1080	1920	no	53996	b95006dc8047482c349c688c03e5aa1543456fe6249d324f376eacec05e90619
tablet-10	tablet-10/04-terminal.png	1080	1920	no	55197	06ed1cdfd592833ce0398e8221585b811c43e001719061a6ba965c93ce392298
tablet-10	tablet-10/05-terminals.png	1080	1920	no	55292	bc048cc17445dc571f8f36123b82cf984aa3ad1fa087d873ceaeab8196abef3c
